id,title,title_fr,slug,path,country,latlng,source,type
"locations:LBNAl1710166607491","Al Wazzani",,[lbn],"[lbn,lbn_a1_07,lbn_a2_14]",,"{""lat"":33.275453, ""lng"":35.623468}",INSO,node
"locations:LBNBi1709731253396","Birket Rishe",,[lbn],"[lbn,lbn_a1_09,lbn_a2_22]",,"{""lat"":33.098723, ""lng"":35.262271}",INSO,node
"locations:LBNLa1709633859322",Labbouneh,,[lbn],"[lbn,lbn_a1_09,lbn_a2_22]",,"{""lat"":33.096625, ""lng"":35.148735}",INSO,node
"locations:LBNMt1709914252522","Mt Hermon",,[lbn],"[lbn,lbn_a1_07,lbn_a2_14]",,"{""lat"":33.407205, ""lng"":35.858393}",INSO,node
"locations:LBNNa1709633528227",Naqoura,,[lbn],"[lbn,lbn_a1_09,lbn_a2_22]",,"{""lat"":33.118147, ""lng"":35.14048}",INSO,node
locations:lbn,Lebanon,,[lbn],[],,,OCHA,
locations:lbn_a1_01,Akkar,,[lbn],[lbn],,,OCHA,
locations:lbn_a1_02,Baalbek-Hermel,,[lbn],[lbn],,,OCHA,
locations:lbn_a1_03,Beirut,,[lbn],[lbn],,,OCHA,
locations:lbn_a1_04,Beqaa,,[lbn],[lbn],,,OCHA,
locations:lbn_a1_05,Keserwan-Jbeil,,[lbn],[lbn],,,OCHA,
locations:lbn_a1_06,"Mount Lebanon",,[lbn],[lbn],,,OCHA,
locations:lbn_a1_07,Nabatieh,,[lbn],[lbn],,,OCHA,
locations:lbn_a1_08,North,,[lbn],[lbn],,,OCHA,
locations:lbn_a1_09,South,,[lbn],[lbn],,,OCHA,
locations:lbn_a2_01,Akkar,,[lbn],"[lbn,lbn_a1_01]",,,OCHA,
locations:lbn_a2_02,Aley,,[lbn],"[lbn,lbn_a1_06]",,,OCHA,
locations:lbn_a2_03,Baabda,,[lbn],"[lbn,lbn_a1_06]",,,OCHA,
locations:lbn_a2_04,Baalbek,,[lbn],"[lbn,lbn_a1_02]",,,OCHA,
