id,title,title_fr,slug,path,country,latlng,source,type
"locations:-n-a-urban-sub-division-gaza","-N/A- urban sub-division-gaza","-N/A- urban sub-division-gaza",[pal],"[pal,pal_a1_1,pal_a2_13,gaza]",,"{""lat"":31.504, ""lng"":34.464}",INSO,node
"locations:PAL-N1709553036607","-N/A- Location",,[pal],"[pal,pal_a1_1,pal_a2_14]",,"{""lat"":31.41945, ""lng"":34.349751}",INSO,node
"locations:PALAd1710767292961",Adora,,[pal],"[pal,pal_a1_2,pal_a2_11]",,"{""lat"":31.552863, ""lng"":35.017626}",INSO,node
"locations:PALAl1709557944200","Al Shokat",,[pal],"[pal,pal_a1_1,pal_a2_16]",,"{""lat"":31.272721, ""lng"":34.319162}",INSO,node
"locations:PALAl1709567409023","Alon Moreh",,[pal],"[pal,pal_a1_2,pal_a2_04]",,"{""lat"":32.234172, ""lng"":35.331154}",INSO,node
"locations:PALAl1709644329775","Al Mughraqa",,[pal],"[pal,pal_a1_1,pal_a2_14]",,"{""lat"":31.4687, ""lng"":34.4177}",INSO,node
"locations:PALAl1709890562300","Al Mahatta",,[pal],"[pal,pal_a1_1,pal_a2_15]",,"{""lat"":31.351994, ""lng"":34.310408}",INSO,node
"locations:PALAl1709890938088","Al Kateebeh",,[pal],"[pal,pal_a1_1,pal_a2_15]",,"{""lat"":31.361488, ""lng"":34.308311}",INSO,node
"locations:PALAl1710769797221","Al Shati Camp",,[pal],"[pal,pal_a1_1,pal_a2_13,gaza]",,"{""lat"":31.537396, ""lng"":34.45364}",INSO,node
"locations:PALAl1710770132429","Al Kuwaiti Square",,[pal],"[pal,pal_a1_1,pal_a2_13,gaza]",,"{""lat"":31.479794, ""lng"":34.442332}",INSO,node
"locations:PALAv1710160486632","Avnei Hefetz",,[pal],"[pal,pal_a1_2,pal_a2_03]",,"{""lat"":32.285605, ""lng"":35.073731}",INSO,node
"locations:PALBe1709642348788","Beit El",,[pal],"[pal,pal_a1_2,pal_a2_07]",,"{""lat"":31.941135, ""lng"":35.222204}",INSO,node
"locations:PALEf1710767845884",Efrat,,[pal],"[pal,pal_a1_2,pal_a2_10]",,"{""lat"":31.653147, ""lng"":35.150057}",INSO,node
"locations:PALGi1709905296102","Giv'at Ze'ev",,[pal],"[pal,pal_a1_2,pal_a2_09]",,"{""lat"":31.859409, ""lng"":35.167039}",INSO,node
"locations:PALGi1710167100712","Giv'at Asaf",,[pal],"[pal,pal_a1_2,pal_a2_07]",,"{""lat"":31.911173, ""lng"":35.248074}",INSO,node
"locations:PALGu1710172726938","Gush Etzion",,[pal],"[pal,pal_a1_2,pal_a2_11]",,"{""lat"":31.654899, ""lng"":35.115168}",INSO,node
"locations:PALHa1709555567549",Hamad,,[pal],"[pal,pal_a1_1,pal_a2_15]",,"{""lat"":31.386145, ""lng"":34.323872}",INSO,node
"locations:PALHa1709906625913",Hamra,,[pal],"[pal,pal_a1_2,pal_a2_02]",,"{""lat"":32.199618, ""lng"":35.434488}",INSO,node
"locations:PALHo1710159848791",Homesh,,[pal],"[pal,pal_a1_2,pal_a2_04]",,"{""lat"":32.309772, ""lng"":35.190215}",INSO,node
"locations:PALIr1710256456700","Iraq at Tayah",,[pal],"[pal,pal_a1_2,pal_a2_04]",,"{""lat"":32.217044, ""lng"":35.284473}",INSO,node
"locations:PALKa1709203598127","Karmei Zur",,[pal],"[pal,pal_a1_2,pal_a2_11]",,"{""lat"":31.609105, ""lng"":35.100819}",INSO,node
"locations:PALKa1710159053351","Karnei Shomron",,[pal],"[pal,pal_a1_2,pal_a2_05]",,"{""lat"":32.171619, ""lng"":35.096981}",INSO,node
"locations:PALKh1710776584026","Khirbat Al Adas",,[pal],"[pal,pal_a1_1,pal_a2_16]",,"{""lat"":31.285163, ""lng"":34.271231}",INSO,node
"locations:PALMa1709895086521","Ma'n",,[pal],"[pal,pal_a1_1,pal_a2_15]",,"{""lat"":31.328904, ""lng"":34.316942}",INSO,node
"locations:PALMa1710255227755","Massafer Yatta",,[pal],"[pal,pal_a1_2,pal_a2_11]",,"{""lat"":31.379826, ""lng"":35.165448}",INSO,node
"locations:PALNa1710773590527","Nabi Saleh",,[pal],"[pal,pal_a1_2,pal_a2_07]",,"{""lat"":32.016374, ""lng"":35.124899}",INSO,node
